Date ID,Open,High,Low,Close,Adj Close,Volume,Date pos,Date 
21,128.220001,129.339996,125.269997,125.93,125.93,1236400,80,21-Mar-20
22,125.459999,125.660004,120.419998,120.510002,120.510002,1654600,81,22-Mar-20
23,120.550003,122.169998,118.010002,121.18,121.18,1492400,82,23-Mar-20
24,120.940002,122.050003,119.370003,121.050003,121.050003,1210200,83,24-Mar-20
25,119.220001,123.480003,119.220001,122.650002,122.650002,1428300,84,25-Mar-20
26,123.610001,125.709999,122.860001,124.910004,124.910004,1527500,85,26-Mar-20
27,126.110001,126.790001,124.129997,125.279999,125.279999,1578300,86,27-Mar-20
28,126.57,128.860001,125.610001,127.730003,127.730003,1363300,87,28-Mar-20
29,128.880005,130.550003,128.009995,128.779999,128.779999,1442200,88,29-Mar-20
30,129.369995,130.779999,127.699997,129.850006,129.850006,1317000,89,30-Mar-20
31,130,134.800003,129.660004,132.589996,132.589996,2106600,90,31-Mar-20
Apr,133.369995,135.020004,131.309998,131.619995,131.619995,1448000,91,1-Apr-20
2,132.199997,133.889999,129.580002,131.380005,131.380005,1517700,92,2-Apr-20
3,130.940002,131.639999,128.559998,131.529999,131.529999,1165200,93,3-Apr-20
4,129.710007,133.539993,129.5,132.539993,132.539993,1749300,94,4-Apr-20
5,133.25,135.940002,130.25,135.529999,135.529999,2696400,95,5-Apr-20
6,136.339996,143.220001,136.339996,142.240005,142.240005,3227000,96,6-Apr-20
7,143.839996,149.279999,143.820007,146.839996,146.839996,7065900,97,7-Apr-20
8,142.139999,147.75,137.130005,138.190002,138.190002,7409600,98,8-Apr-20
9,139.649994,141.5,138.630005,140.509995,140.509995,2233800,99,9-Apr-20
10,142.440002,142.75,129.809998,130.199997,130.199997,5916700,100,10-Apr-20
11,130.440002,134.699997,126.559998,134.520004,134.520004,5231800,101,11-Apr-20
12,133.919998,136.550003,133.570007,134.070007,134.070007,2346900,102,12-Apr-20
13,135.029999,137.229996,132.710007,136.169998,136.169998,4594600,103,13-Apr-20
14,135.619995,136.589996,134.25,136.220001,136.220001,1932800,104,14-Apr-20
15,135.039993,135.759995,132.339996,134.600006,134.600006,1801200,105,15-Apr-20
16,134,134.009995,128.259995,129.300003,129.300003,3076100,106,16-Apr-20
17,129.110001,130.289993,125.779999,127.589996,127.589996,2647000,107,17-Apr-20
18,125.260002,129.009995,124.860001,128.910004,128.910004,3318000,108,18-Apr-20
19,127.239998,134.979996,125.779999,134.800003,134.800003,2954800,109,19-Apr-20
20,134.970001,136.949997,132.529999,134.410004,134.410004,1702200,110,20-Apr-20
